Publication,Authors,Journal,Year
Construction of a Saccharum Consensus Genetic Map from Two Interspecific Crosses ," R Ming, SC Liu, JE Bowers, PH Moore, JE Irvine, AH Paterson "," Crop science 42 (2), 570-583",2002
Molecular analysis of sorghum resistance to the greenbug (Homoptera: Aphididae) ," CS Katsar, AH Paterson, GL Teetes, GC Peterson "," Journal of economic entomology 95 (2), 448-457",2002
"Disomic inheritance, suppressed recombination, and allelic interactions govern apospory in buffelgrass as revealed by genome mapping "," RW Jessup, BL Burson, GB Burow, YW Wang, C Chang, Z Li, ... "," Crop science 42 (5), 1688-1694",2002
Applied plant genomics: the secret is integration ," MT Osterlund, AH Paterson "," Current opinion in plant biology 5 (2), 141-145",2002
Breeding and biotechnology ," B Chapman, C Mondragón-Jacobo, RA Bunch, AH Paterson "," Cacti: biology and uses. University of California Press, Berkeley, CA, 255-271",2002
Molecular Biology of Host–Pathogen Interactions in Harvested Horticultural Crops ," S Tanksley, M Ganal, J Prince, C deVincente, M Bonierbale, P Broun, ... "," HortScience 37 (3), 456",2002
Agricultural diversification: The contribution of rice and horticultural producers ," C Barrow, A Paterson "," The Forest Frontier, 173-204",2002
Toward a genetically-anchored physical map of the cotton genomes ," AH PATERSON, JC ESTILL, J RONG, DT WILLIAMS-COPLIN, ... ", 棉花学报 1,2002
Progress towards the positional cloning of the sorghum grain shattering gene ," MG Wise, SR Schulze, YR Lin, JE Bowers, H Okuizumi, KF Schertz, ... "," Plant and Animal Genome X, San Diego",2002
"The Maize Mapping Project: Comprehensive genetic, physical and database resources for maize "," E Coe, K Cone, G Davis, J Gardiner, M McMullen, M Polacco, ... "," Maize Genetics Cooperation Newsletter 76, 78-78",2002
"CELL BIOLOGY & MOLECULAR GENETICS-Disomic Inheritance, Suppressed Recombination, and Allelic Interactions Govern Apospory in Buffelgrass as Revealed by Genome Mapping "," RW Jessup, BL Burson, GB Burow, YW Wang, C Chang, Z Li, ... "," Crop Science 42 (5), 1688-1694",2002
Tansley review No. 137. what has QTL mapping taught us about plant domestication? , AH Paterson ," New Phytologist, 591-608",2002
Transmission Genetics of Chromatin from a Synthetic Amphidiploid to Cultivated Peanut (Arachis hypogaea L.): Broadening the Gene Pool of a Monophyletic Polyploid Species ," CH Park, MD Burow, CE Simpson, AH Paterson "," 한국육종학회 학술발표회 발표요지 34 (1), 154-154",2002
Reducing the Genetic Vulnerability of Cotton , PW CHEE; SM BROWN; AR GINGLE; OL MAY; AH PATERSON; RK BOMAN; JR GANNAWAY; CW ... ," 棉花学报, 24-24",2002
Genetic Resources for Cotton Improvement and Application of Genomic Tools , O L. MAY; AH PATERSON; PW CHEE ," 棉花学报, 92-92",2002
Comparative Mapping of Cotton and Arabidopsis ," C ABBEY, J BOWERS, S SCHULZE, AH PATERSON ", 第三届国际棉花基因组协会 (筹) 学术讨论会论文集,2002
Comparative Mapping of Cotton and Arabidopsis , J kang RONG; Colette ABBEY; John BOWERS; Stefan SCHULZE; Andrew H. PATERSON ," 棉花学报, 13-13",2002
棉花品种改良和基因组研究的遗传资源 ," OL MAY, AH PATERSON, PW CHEE ", 棉花学报 14 (Z1),2002
Cross-linked sorghum-rice physical maps: update on research. , AH Paterson ," Sorghum Improvement Conference of North America, Abernathy, USA …",2002
Comparative genomics of maize and sorghum , AH Paterson ," MAIZE GENETICS COOPERATION NEWSLETTER 76, 77-77",2002
Genetic and molecular analysis of expressed sequence tags (ESTs) implicated in sugarcane growth and productivity , AH Paterson , International Consortium for Sugarcane Biotechnology Project 12,2002
Unravelling angiosperm genome evolution by phylogenetic analysis of chromosomal duplication events ," JE Bowers, BA Chapman, J Rong, AH Paterson "," Nature 422 (6930), 433-438",2003
QTL analysis of genotype× environment interactions affecting cotton fiber quality ," AH Paterson, Y Saranga, M Menz, CX Jiang, R Wright "," Theoretical and applied genetics 106, 384-396",2003
Rate variation among nuclear genes and the age of polyploidy in Gossypium ," DS Senchina, I Alvarez, RC Cronn, B Liu, J Rong, RD Noyes, ... "," Molecular biology and evolution 20 (4), 633-643",2003
"A High-Density Genetic Recombination Map of Sequence-Tagged Sites for Sorghum, as a Framework for Comparative Structural and Evolutionary Genomics of … "," JE Bowers, C Abbey, S Anderson, C Chang, X Draye, AH Hoppe, ... "," Genetics 165 (1), 367-386",2003
Convergent evolution of perenniality in rice and sorghum ," FY Hu, DY Tao, E Sacks, BY Fu, P Xu, J Li, Y Yang, K McNally, GS Khush, ... "," Proceedings of the National Academy of Sciences 100 (7), 4050-4054",2003
Gene actions of QTLs affecting several agronomic traits resolved in a recombinant inbred rice population and two testcross populations ," HW Mei, LJ Luo, CS Ying, YP Wang, XQ Yu, LB Guo, AH Paterson, ZK Li "," Theoretical and Applied Genetics 107, 89-101",2003
Registration of'NemaTAM'peanut ," CE Simpson, JL Starr, GT Church, MD Burow, AH Paterson "," Crop Science 43 (4), 1561",2003
Structure and evolution of cereal genomes ," AH Paterson, JE Bowers, DG Peterson, JC Estill, BA Chapman "," Current opinion in genetics & development 13 (6), 644-650",2003
Molecular breeding of groundnut for enhanced productivity and food security in the semi-arid tropics: opportunities and challenges ," SL Dwivedi, JH Crouch, SN Nigam, ME Ferguson, AH Paterson "," Advances in agronomy 80, 153-221",2003
Segmental allotetraploidy and allelic interactions in buffelgrass (Pennisetum ciliare (L.) Link syn. Cenchrus ciliaris L.) as revealed by genome mapping ," RW Jessup, BL Burson, G Burow, YW Wang, C Chang, Z Li, AH Paterson, ... "," Genome 46 (2), 304-313",2003
A rapid and direct approach to identify promoters that confer high levels of gene expression in monocots ," M Yang, R Bower, MD Burow, AH Paterson, TE Mirkov "," Crop science 43 (5), 1805-1813",2003
A rapid and direct approach to identify promoters that confer high levels of gene expression in monocots ," M Yang, R Bower, MD Burow, AH Paterson, TE Mirkov "," Crop science 43 (5), 1805-1813",2003
Registration of'NemaTAM'peanut.(Registrations Of Cultivars) ," CE Simpson, JL Starr, GT Church, MD Burow, AH Paterson "," Crop Science 43 (4), 1561-1562",2003
Molecular dissection of complex traits , AH Paterson , CRC Press,2003
"GENOMICS, MOLECULAR GENETICS & BIOTECHNOLOGY-A Rapid and Direct Approach to Identify Promoters That Confer High Levels of Gene Expression in Monocots "," M Yang, R Bower, MD Burow, AH Paterson, TE Mirkov "," Crop Science 43 (5), 1805-1813",2003
Genetic diversity of US upland cotton ," EL Lubbers, PW Chee, OL May, AH Paterson ", Georgia Cotton Research and Extension Reports. Univ. GA College of Agric …,2003
BACMAN: BAC data management for high throughput physical mapping of genomes ," JC Estill, JE Bowers, BS Marler, AH Paterson "," Plant Anim Microb Genome 11, 300",2003
Facilitation of genome characterization by integrating renaturation kinetics with cloning and sequencing ," D Peterson, A Paterson, S Wessler "," US Patent App. 10/293,038",2003
Facilitation of genome characterization by integrating renaturation kinetics with cloning and sequencing ," D Peterson, A Paterson, S Wessler "," US Patent App. 10/293,038",2003
Improving cotton productivity in arid-region agriculture ," Y Saranga, A Cohen, I Flash, CX Jiang, M Menz, RJ Wright, D Yakir, ... ", World Cotton Research Conference 3,2003
QTL correspondence in diverse sorghum populations: statistically significant overlap of tiller height and testa factor QTLs ," FA Feltus, GE Hart, AH Paterson "," International Plant and Animal Genome Conference, January, 11-15",2003
THE GENETIC BASIS OF SEX DETERMINATION IN PAPAYA ," Z Liu, P Moore, H Ma, M Kim, R Makandar, H Pearl, J Charlton, ... ", Compiled Abstracts for Annual Meeting of American Society of Plant …,2003
REGISTRATIONS OF CULTIVARS ," CE Simpson, MR Baring, AM Schubert, HA Melouk, MC Black, Y Lopez, ... ", CROP SCIENCE 43,2003
Analyses of Apospory-Linked Markers in Floral Tissues of Buffelgrass ," R Jessup, B Burson, M Yang, K Renganayki, AH Paterson, MA Hussey ", Plant and Animal Genome VX Conference Abstracts,2003
Plant functional genomics» show extra info. ," D Leister, AH Paterson, D Weigel, J Glazebrook, M Busch, JKC Rose ", Biotechnology,2003
A high-density genetic recombination map of sequence-tagged sites for Sorghum for comparative structural and evolutionary genomics of tropical grains and grasses. ," JE Bowers, C Abbey, S Anderson, C Chang, X Draye, AH Lattu, R Jessup, ... "," International Sorghum and Millets Newsletter 44, 74-75",2003
Quantitative trait loci analysis of aluminum tolerance in rice ," VT Nguyen, HT Nguyen, BT Le, TD Le, AH Paterson "," Advances in Rice Genetics: (In 2 Parts), 298-301",2003
Sequence and comparative analysis of the chicken genome provide unique perspectives on vertebrate evolution , Project management: Fulton Lucinda A. 1 Mardis Elaine R. 1 Wilson Richard K. 1 ," Nature 432 (7018), 695-716",2004
"Ancient polyploidization predating divergence of the cereals, and its consequences for comparative genomics "," AH Paterson, JE Bowers, BA Chapman "," Proceedings of the National Academy of Sciences 101 (26), 9903-9908",2004
A primitive Y chromosome in papaya marks incipient sex chromosome evolution ," Z Liu, PH Moore, H Ma, CM Ackerman, M Ragiba, Q Yu, HM Pearl, ... "," Nature 427 (6972), 348-352",2004
"A 3347-locus genetic recombination map of sequence-tagged sites reveals features of genome organization, transmission and evolution of cotton (Gossypium) "," J Rong, C Abbey, JE Bowers, CL Brubaker, C Chang, PW Chee, ... "," Genetics 166 (1), 389-417",2004
An SNP resource for rice genetics and breeding based on subspecies indica and japonica genome alignments ," FA Feltus, J Wan, SR Schulze, JC Estill, N Jiang, AH Paterson "," Genome research 14 (9), 1812-1819",2004
Microsatellite identification and characterization in peanut (A. hypogaea L.) ," ME Ferguson, MD Burow, SR Schulze, PJ Bramel, AH Paterson, ... "," Theoretical and applied genetics 108, 1064-1070",2004
High-density linkage mapping revealed suppression of recombination at the sex determination locus in papaya ," H Ma, PH Moore, Z Liu, MS Kim, Q Yu, MMM Fitch, T Sekioka, ... "," Genetics 166 (1), 419-436",2004
Genetic dissection of cotton physiological responses to arid conditions and their inter‐relationships with productivity ," Y SARANGA, CX Jiang, RJ Wright, D Yakir, AH Paterson "," Plant, Cell & Environment 27 (3), 263-277",2004
"Comparative Population Genetics of the Panicoid Grasses: Sequence Polymorphism, Linkage Disequilibrium and Selection in a Diverse Sample of Sorghum bicolor "," MT Hamblin, SE Mitchell, GM White, J Gallego, R Kukatla, RA Wing, ... "," Genetics 167 (1), 471-483",2004
An EST survey of the sugarcane transcriptome ," HM Ma, S Schulze, S Lee, M Yang, E Mirkov, J Irvine, P Moore, ... "," Theoretical and Applied Genetics 108, 851-863",2004
Incongruent patterns of local and global genome size evolution in cotton ," CE Grover, HR Kim, RA Wing, AH Paterson, JF Wendel "," Genome research 14 (8), 1474-1482",2004
EST derived PCR-based markers for functional gene homologues in cotton ," PW Chee, J Rong, D Williams-Coplin, SR Schulze, AH Paterson "," Genome 47 (3), 449-462",2004
Reducing the genetic vulnerability of cotton ," AH Paterson, RK Boman, SM Brown, PW Chee, JR Gannaway, AR Gingle, ... "," Crop Sci 44 (6), 1900-1901",2004
"Comparative genome analysis of monocots and dicots, toward characterization of angiosperm diversity "," AH Paterson, JE Bowers, BA Chapman, DG Peterson, J Rong, TM Wicker "," Current opinion in biotechnology 15 (2), 120-125",2004
A comparative phylogenetic approach for dating whole genome duplication events ," BA Chapman, JE Bowers, SR Schulze, AH Paterson "," Bioinformatics 20 (2), 180-185",2004
Genomics and genetic enhancement of peanut ," AH Paterson, HT Stalker, M Gallo-Meagher, MD Burrow, SL Dwivedi, ... "," Legume crop genomics, 97-109",2004
Genome mapping and analysis ," CF Quiros, AH Paterson "," Brassica, 31-42",2004
Construction of a comparative RFLP map of Echinochloa crus-galli toward QTL analysis of flooding tolerance ," T Fukao, AH Paterson, MA Hussey, Y Yamasue, RA Kennedy, ... "," Theoretical and applied genetics 108, 993-1001",2004
大丽轮枝菌毒素诱导表达陆地棉 cDNA 序列的克隆与定位 , 王力华， 戴小枫， 方宣均， 戎均康 ," 中国农业科学 37 (10), 1474-1480",2004
Comparative genomics in cereals , AH Paterson ," Cereal Genomics. Kluwer, Dordrecht, 119-134",2004
Genome mapping and Marker-Assisted Selection for Improving Cotton (Gossypium spp.) productivity and quality in Arid regions , Y Saranga ," Physiology and Biotechnology Integration for Plant Breeding, 431-448",2004
Evolutionary History of the Angiosperms and Its Relevance to Brassica ," JC Estill, TC Osborn, JC Pires, R Amasino, CF Quiros, M Farnham, ... ", IV International Symposium on Brassicas and XIV Crucifer Genetics Workshop …,2004
Association Mapping of Papo 1: the Apomixis Locus in Buffelgrass ," R Jessup, M Hussey, A Paterson, B Burson ", American Society of Agronomy Meetings,2004
MOLECULAR DISSECTION OF APOMIXIS IN BUFFELGRASS ," R Jessup, B Burson, A Paterson, M Hussey ", Plant and Animal Genome VX Conference Abstracts,2004
1 GENOME MAPPING AND MARKER-ASSISTED SELECTION FOR CROP ADAPTATION TO ARID LANDS ," Y Saranga, AH Paterson "," Physiology and Biotechnology Integration for Plant Breeding, 414",2004
The Maize Genome: Ready to Tile and to Target for Research ," EH Coe Jr, K Cone, H Sanchez-Villeda, ML Polacco, J Gardiner, ... "," Plant and Animal Genome VX Conference Abstracts 12, 76",2004
A Primitive Y Chromosome in Papaya Reveals That Sex Chromosomes Evolve from Autosomes ," Z Liu, P Moore, C Ackerman, Q Yu, A Paterson, R Ming "," Plant Animal and Microbe Genomes Conference 598, 220",2004
Rice SNP map between indica and japonica subspecies: DNA marker resolution on the kilobase scale ," FA FELTUS, JUN WAN, SR SCHULZE, N JIANG, AH PATERSON "," Resilient Crops for Water Limited Environments, 39",2004
Search for molecular markers in cereals: An approach by'intro scanning'and genome complexity reduction using DOP-PCR. Resilient crops for water limited environments … ," HP Singh, FA Feltus, SR Schulze, T Silva, AH Paterson ", ^ TResilient crops for water limited environments: Proceedings of a Workshop …,2004
Search for molecular markers in cereals: An approach by ‘intron scanning’and genome complexity reduction using DOP-PCR ," HP SINGH, FA FELTUS, SR SCHULZE, T SILVA, AH PATERSON "," Resilient Crops for Water Limited Environments, 70",2004
Rice SNP map between Indica and Japonica subspecies: DNA marker resolution on the kilobase scale. Resilient crops for water limited environments: Proceedings of a Workshop. ," FA Feltus, J Wan, SR Schulze, N Jiang, AH Paterson ", ^ TResilient crops for water limited environments: Proceedings of a Workshop …,2004
Chromosome evolution in eukaryotes: a multi-kingdom perspective ," A Coghlan, EE Eichler, SG Oliver, AH Paterson, L Stein "," TRENDS in Genetics 21 (12), 673-682",2005
The repetitive landscape of the chicken genome ," T Wicker, JS Robertson, SR Schulze, FA Feltus, V Magrini, JA Morrison, ... "," Genome research 15 (1), 126-136",2005
Diversity and selection in sorghum: simultaneous analyses using simple sequence repeats ," AM Casa, SE Mitchell, MT Hamblin, H Sun, JE Bowers, AH Paterson, ... "," Theoretical and applied genetics 111, 23-30",2005
Grains of knowledge: genomics of model cereals ," AH Paterson, M Freeling, T Sasaki "," Genome research 15 (12), 1643-1650",2005
Comparative physical mapping links conservation of microsynteny to chromosome structure and recombination in grasses ," JE Bowers, MA Arias, R Asher, JA Avise, RT Ball, GA Brewer, RW Buss, ... "," Proceedings of the National Academy of Sciences 102 (37), 13206-13211",2005
Grains of knowledge: genomics of model cereals ," AH Paterson, M Freeling, T Sasaki "," Genome research 15 (12), 1643-1650",2005
Genetic mapping and comparative analysis of seven mutants related to seed fiber development in cotton ," J Rong, GJ Pierce, VN Waghmare, CJ Rogers, A Desai, PW Chee, ... "," Theoretical and applied genetics 111, 1137-1146",2005
Molecular dissection of interspecific variation between Gossypium hirsutum and Gossypium barbadense (cotton) by a backcross-self approach: I. Fiber elongation ," P Chee, X Draye, CX Jiang, L Decanini, TA Delmonte, R Bredhauer, ... "," Theoretical and Applied Genetics 111, 757-763",2005
Pedigree‐vs. DNA marker‐based genetic similarity estimates in cotton ," G Van Becelaere, EL Lubbers, AH Paterson, PW Chee "," Crop science 45 (6), 2281-2287",2005
Equilibrium Processes Cannot Explain High Levels of Short- and Medium-Range Linkage Disequilibrium in the Domesticated Grass Sorghum bicolor ," MT Hamblin, MG Salas Fernandez, AM Casa, SE Mitchell, AH Paterson, ... "," Genetics 171 (3), 1247-1256",2005
Functional genomics of drought stress response in rice: transcript mapping of annotated unigenes of an indica rice (Oryza sativa L. cv. Nagina 22) ," M Gorantla, PR Babu, VBR Lachagari, FA Feltus, AH Paterson, AR Reddy "," Current Science, 496-514",2005
Crop‐to‐weed introgression has impacted allelic composition of johnsongrass populations with and without recent exposure to cultivated sorghum ," PL Morrell, TD Williams‐Coplin, AL Lattu, JE Bowers, JM Chandler, ... "," Molecular ecology 14 (7), 2143-2154",2005
"A detailed look at 7 million years of genome evolution in a 439 kb contiguous sequence at the barley Hv‐eIF4E locus: recombination, rearrangements and repeats "," T Wicker, W Zimmermann, D Perovic, AH Paterson, M Ganal, A Graner, ... "," The Plant Journal 41 (2), 184-194",2005
"Polyploidy, evolutionary opportunity, and crop adaptation ", AH Paterson ," Genetics of adaptation, 191-196",2005
Molecular dissection of phenotypic variation between Gossypium hirsutum and Gossypium barbadense (cotton) by a backcross-self approach: III. Fiber length ," PW Chee, X Draye, CX Jiang, L Decanini, TA Delmonte, R Bredhauer, ... "," Theoretical and Applied Genetics 111, 772-781",2005
Investigation of genomic organization in switchgrass (Panicum virgatum L.) using DNA markers ," AM Missaoui, AH Paterson, JH Bouton "," Theoretical and applied genetics 110, 1372-1383",2005
"Sorghum expressed sequence tags identify signature genes for drought, pathogenesis, and skotomorphogenesis from a milestone set of 16,801 unique transcripts "," LH Pratt, C Liang, M Shah, F Sun, H Wang, SP Reid, AR Gingle, ... "," Plant physiology 139 (2), 869-884",2005
Molecular dissection of interspecific variation between Gossypium hirsutum and G. barbadense (cotton) by a backcross-self approach: II. Fiber fineness ," X Draye, P Chee, CX Jiang, L Decanini, TA Delmonte, R Bredhauer, ... "," Theoretical and Applied Genetics 111, 764-771",2005
Toward sequencing the sorghum genome. A US National Science Foundation-sponsored workshop report , Sorghum Genomics Planning Workshop Participants ," Plant Physiology 138 (4), 1898-1902",2005
Comparative genomics of Gossypium and Arabidopsis: unraveling the consequences of both ancient and recent polyploidy ," J Rong, JE Bowers, SR Schulze, VN Waghmare, CJ Rogers, GJ Pierce, ... "," Genome research 15 (9), 1198-1210",2005
Organization and evolution of resistance gene analogs in peanut ," B Yuksel, JC Estill, SR Schulze, AH Paterson "," Molecular Genetics and Genomics 274, 248-263",2005
"Genetic mapping of a cross between Gossypium hirsutum (cotton) and the Hawaiian endemic, Gossypium tomentosum "," VN Waghmare, J Rong, CJ Rogers, GJ Pierce, JF Wendel, AH Paterson "," Theoretical and Applied Genetics 111, 665-676",2005
Ancient duplication of cereal genomes ," AH Paterson, JE Bowers, Y Van de Peer, K Vandepoele "," New Phytologist, 658-661",2005
Construction and characterization of a peanut HindIII BAC library ," B Yüksel, AH Paterson "," Theoretical and Applied Genetics 111, 630-639",2005
Exploratory integration of peanut genetic and physical maps and possible contributions from Arabidopsis ," B Yüksel, JE Bowers, J Estill, L Goff, C Lemke, AH Paterson "," Theoretical and applied genetics 111, 87-94",2005
PLANT ," NA Eckardt, J Mach, KL Farquharson, YH Chew, RW Smith, HJ Jones, ... "," Plant Cell 17, 11",2005
"Revealing angiosperm diversity, toward a “Gene Revolution” "," JE BOWERS, BA CHAPMAN, AH PATERSON ", Proceedings of an International Congress In the Wake of the Double Helix …,2005
for Improving Stress Resistance in Plants ," NT Vinh, AH Paterson ", Abiotic Stresses: Plant Resistance Through Breeding and Molecular Approaches …,2005
Erratum: Corrigendum: Sequence and comparative analysis of the chicken genome provide unique perspectives on vertebrate evolution ," LDW Hillier, W Miller, E Birney, W Warren, RC Hardison, CP Ponting, ... "," Nature 433 (7027), 777",2005
MAPPING DROUGHT-RELATED GENES IN COTTON ," H Kebede, P Payton, J Wang, N Klueva, R Allen, A Paterson, R Wright ", Annual International Plant & Animal Genome Conference,2005
Genomic Analyses of the Male Specific Region on the Primitive Y Chromosome in Papaya ," Q Yu, P Moore, Z Liu, T Uhm, M Jones, C Ackerrman, A Paterson, R Ming "," Plant Animal and Microbe Genomes Conference 506, p197",2005
Comparative Mapping of a Segregation Distorter System on the Buffelgrass Chromosome Conferring Apomixis ," RW Jessup, BL Burson, GB Burow, AH Paterson, MA Hussey "," Annual International Plant & Animal Genome Conference, 46",2005
Revealing angiosperm diversity ," JE BOWERS, BA CHAPMAN ", In the Wake of the Double Helix: From the Green Revolution to the Gene …,2005
Molecular dissection of phenotypic variation between Gossypium hirsutum and Gossypium barbadense (cotton) by a backcross-self approach: III. Fiber length ," WC Peng, X DRAYE, CX JIANG, L DECANINI, TA DELMONTE, ... "," Theoretical and applied genetics 111 (4), 772-781",2005
Test of linkage and association of 14 genetic loci with bone size ," HL Lau, MYM Ng, L Jin, A Paterson, PC Sham, KDK Luk, VNY Chan, ... ", Journal of Bone and Mineral Research,2005
"Junkang Rong, John E. Bowers, Stefan R. Schulze, Vijay N. Waghmare, Carl J. Rogers, Gary J. Pierce, Hua "," JCE Zhang, AH Paterson ", ,2005
Gross rearrangements–a primer ," A Coghlan, EE Eichler, SG Oliver, AH Paterson, L Stein "," Trends in Genetics 12 (21), 673-682",2005
CHICKEN SPECIAL/LETTERS ," G Bourque, EM Zdobnov, P Bork, PA Pevzner, G Tesler, JF Abril, ... "," Genome Res 15, 19-24",2005
Buffering of crucial functions by paleologous duplicated genes may contribute cyclicality to angiosperm genome duplication ," BA Chapman, JE Bowers, FA Feltus, AH Paterson "," Proceedings of the National Academy of Sciences 103 (8), 2730-2735",2006
"Many gene and domain families have convergent fates following independent whole-genome duplication events in Arabidopsis, Oryza, Saccharomyces and Tetraodon "," AH Paterson, BA Chapman, JC Kissinger, JE Bowers, FA Feltus, JC Estill "," Trends in genetics 22 (11), 597-602",2006
SyMAP: A system for discovering and viewing syntenic regions of FPC maps ," C Soderlund, W Nelson, A Shoemaker, A Paterson "," Genome research 16 (9), 1159-1168",2006
SyMAP: A system for discovering and viewing syntenic regions of FPC maps ," C Soderlund, W Nelson, A Shoemaker, A Paterson "," Genome research 16 (9), 1159-1168",2006
A global assembly of cotton ESTs ," JA Udall, JM Swanson, K Haller, RA Rapp, ME Sparks, J Hatfield, Y Yu, ... "," Genome research 16 (3), 441-450",2006
Alignment of genetic maps and QTLs between inter-and intra-specific sorghum populations ," FA Feltus, GE Hart, KF Schertz, AM Casa, S Kresovich, S Abraham, ... "," Theoretical and applied genetics 112, 1295-1305",2006
A comparative genomics strategy for targeted discovery of single-nucleotide polymorphisms and conserved-noncoding sequences in orphan crops ," FA Feltus, HP Singh, HC Lohithaswa, SR Schulze, TD Silva, AH Paterson "," Plant physiology 140 (4), 1183-1191",2006
Leafing through the genomes of our major crop plants: strategies for capturing unique information , AH Paterson ," Nature Reviews Genetics 7 (3), 174-184",2006
Challenges of Detecting Directional Selection After a Bottleneck: Lessons From Sorghum bicolor ," MT Hamblin, AM Casa, H Sun, SC Murray, AH Paterson, CF Aquadro, ... "," Genetics 173 (2), 953-964",2006
Chromosome structural changes in diploid and tetraploid A genomes of Gossypium ," A Desai, PW Chee, J Rong, OL May, AH Paterson "," Genome 49 (4), 336-345",2006
Molecular Markers for the Classification of Switchgrass (Panicum virgatum L.) Germplasm and to Assess Genetic Diversity in Three Synthetic Switchgrass Populations ," AM Missaoui, AH Paterson, JH Bouton "," Genetic Resources and Crop Evolution 53, 1291-1302",2006
"Functional classification, genomic organization, putatively cis-acting regulatory elements, and relationship to quantitative trait loci, of sorghum genes with rhizome-enriched … "," CS Jang, TL Kamps, DN Skinner, SR Schulze, WK Vencill, AH Paterson "," Plant physiology 142 (3), 1148-1159",2006
A framework linkage map of bermudagrass (Cynodon dactylon × transvaalensis) based on single-dose restriction fragments ," CM Bethel, EB Sciara, JC Estill, JE Bowers, W Hanna, AH Paterson "," Theoretical and applied genetics 112, 727-737",2006
A framework linkage map of bermudagrass (Cynodon dactylon × transvaalensis) based on single-dose restriction fragments ," CM Bethel, EB Sciara, JC Estill, JE Bowers, W Hanna, AH Paterson "," Theoretical and applied genetics 112, 727-737",2006
"Forage Potential of Opuntia Clones Maintained by the USDA, National Plant Germplasm System (NPGS) Collection "," P Felker, A Paterson, MM Jenderek "," Crop science 46 (5), 2161-2168",2006
An integrated web resource for cotton ," AR Gingle, H Yang, PW Chee, OL May, J Rong, DT Bowman, EL Lubbers, ... "," Crop science 46 (5), 1998-2007",2006
Restriction landmark genome scanning method using isoschizomers (MspI/HpaII) for DNA methylation analysis ," T Takamiya, S Hosobuchi, K Asai, E Nakamura, K Tomioka, M Kawase, ... "," Electrophoresis 27 (14), 2846-2856",2006
Evidence for a selective sweep on chromosome 1 of cultivated sorghum ," AM Casa, SE Mitchell, JD Jensen, MT Hamblin, AH Paterson, CF Aquadro, ... "," Crop science 46, S-27-S-40",2006
Evolutionary history of the angiosperms and its relevance to Brassica ," AH Paterson, JE Bowers, JC Estill, TC Osborn, JC Pires, R Amasino, ... ", ,2006
Predicting intron sites by aligning cotton ESTs with Arabidopsis genomic DNA ," P Kumar, AH Paterson, PW Chee "," J Cotton Sci 10, 29-38",2006
Genetic mapping of fall armyworm resistance and salinity tolerance in zoysiagrass ," RW Jessup, BL Burson, R Krishnaramanujam, MC Engelke, AD Genovesi, ... "," Annual meetings abstracts [CD-ROM]. ASA, CSSA, and SSSA, Madison, WI",2006
Fiber quality of a near-isogenic introgression line series from an Upland by Pima interspecific cross ," EL Lubbers, PW Chee, AH Paterson, CW Smith "," Beltwide Cotton Conferences, 845-852",2006
"Sorghum genes with rhizome-enriched expression: functional classification, genomic organization, putative cis acting regulatory elements, and relationship to QTLs "," CS Jang, TL Kamps, DN Skinner, SR Schulze, W Vencill, AH Paterson "," Plant Physiol 142, 1148-1159",2006
A cornucopia of genomes , AH Paterson ," Genome Biology 7 (3), 1-3",2006
Sugarcane genomics and breeding ," RAY MING, K WU, P Moore, A PATTERSON "," Plant Breeding Reviews, 283-292",2006
A Framework Linkage Map of Bermudagrass: A Foundation for Leveraging the Genomes of Model Cereals in Turfgrass Improvement. ," AH Paterson, W Hanna, CM Bethel, EB Sciara, JE Bowers "," ASA-CSSA-SSSA International Annual Meetings (November 12-16, 2006)",2006
Autosomal Degeneration as the Process for the Evolution of a Primitive Y Chromosome in Papaya ," Q Yu, P Moore, S Hou, J Jiang, A Paterson, B Vyskot, R Ming ", International Congress of Plant Molecular Biology 80,2006
The Evolution of Sex Chromosomes in Papaya ," Y Qingyi, P Moore, M Alam, J Jiang, A Paterson, B Vyskot, R Ming "," Plant Animal and Microbe Genomes Conference 14, W340",2006
An EST-SSR and AFLP-based genome map of zoysiagrass ," R Jessup, B Burson, A Broussard, R Krishnaramanujam, M Engelke, ... ", Plant and Animal Genome,2006
"Plant Physiology Preview. Published on September 22, 2006, as DOI: 10.1104/pp. 106.082891 ", AH Paterson , ,2006
A global assembly of cotton ESTs ," AH Paterson, C Soderlund, JF Wendel, M Essenberg, HR Kim, ... ", ,2006
The papaya Y chromosome evolved recently and shows gene paucity and DNA sequence expansion ," Q Yu, S Hou, FA Feltus, RC Moore, PH Moore, M Alam, J Jiang, ... ", Plant and Animal Genome XV Conference,2006
Toward Sequencing Cotton (Gossypium) Genomes ," ZJ Chen, BE Scheffler, E Dennis, BA Triplett, T Zhang, W Guo, X Chen, ... "," Plant physiology 145 (4), 1303-1310",2007
Physical and genetic structure of the maize genome reflects its complex evolutionary history ," F Wei, ED Coe, W Nelson, AK Bharti, F Engler, E Butler, HR Kim, ... "," PLoS genetics 3 (7), e123",2007
Meta-analysis of polyploid cotton QTL shows unequal contributions of subgenomes to a complex network of genes and gene clusters implicated in lint fiber development ," J Rong, FA Feltus, VN Waghmare, GJ Pierce, PW Chee, X Draye, ... "," Genetics 176 (4), 2577-2588",2007
Sex chromosomes in flowering plants ," R Ming, J Wang, PH Moore, AH Paterson "," American Journal of Botany 94 (2), 141-150",2007
